iter	Passed	Remaining
465	732	839
466	733	836
467	734	834
468	735	832
469	736	830
470	737	827
471	738	825
472	739	823
473	740	821
474	742	820
475	743	818
476	744	815
477	744	813
478	745	811
479	746	809
480	747	806
481	748	804
482	749	802
483	750	800
484	751	798
485	752	796
486	753	794
487	755	792
488	756	790
489	757	788
490	758	786
491	759	784
492	760	782
493	762	780
494	763	779
495	765	777
496	766	775
497	767	773
498	768	771
499	769	769
500	771	768
501	772	766
502	773	764
503	774	761
504	775	759
505	776	757
506	777	755
507	778	753
508	779	751
509	780	749
510	781	747
511	781	745
512	782	743
513	784	741
514	785	739
515	786	738
516	788	736
517	788	734
518	789	731
519	790	729
520	791	727
521	792	725
522	793	723
523	794	721
524	795	719
525	796	717
526	797	715
527	798	713
528	799	712
529	801	710
530	802	708
531	803	706
532	804	704
533	805	702
534	806	700
535	806	698
536	807	696
537	808	694
538	809	692
539	810	690
540	811	688
541	812	686
542	813	684
543	814	683
544	816	681
545	817	679
546	818	677
547	819	675
548	819	673
549	820	671
550	821	669
551	823	667
552	823	666
553	824	664
554	825	662
555	826	660
556	827	658
557	828	656
558	830	654
559	831	653
560	832	651
561	833	649
562	834	647
563	834	645
564	835	643
565	836	641
566	837	639
567	838	637
568	839	635
569	840	634
570	841	632
571	842	630
572	843	628
573	845	627
574	846	625
575	847	623
576	848	621
577	849	619
578	850	618
579	851	616
580	852	614
581	852	612
582	853	610
583	854	608
584	855	607
585	856	605
586	857	603
587	859	601
588	860	600
589	861	598
590	862	597
591	863	595
592	864	593
593	865	591
594	867	590
595	868	588
596	869	586
597	870	584
598	871	583
599	871	581
600	873	579
601	874	578
602	876	576
603	877	575
604	878	573
605	879	571
606	879	569
607	880	567
608	881	566
609	882	564
610	883	562
611	884	560
612	885	559
613	886	557
614	888	555
615	889	554
616	890	552
617	891	551
618	892	549
619	893	547
620	894	546
621	895	544
622	896	542
623	897	540
624	898	539
625	899	537
626	900	535
627	901	534
628	902	532
629	904	531
630	905	529
631	906	528
632	907	526
633	908	524
634	909	522
635	910	521
636	911	519
637	912	517
638	913	516
639	915	514
640	916	513
641	917	511
642	918	509
643	919	508
644	920	506
645	921	505
646	922	503
647	923	501
648	924	500
649	925	498
650	926	496
651	927	495
652	928	493
653	929	491
654	930	490
655	931	488
656	932	487
657	934	485
658	935	483
659	936	482
660	937	480
661	938	479
662	939	477
663	940	475
664	941	474
665	942	472
666	943	470
667	943	469
668	944	467
669	946	465
670	947	464
671	948	462
672	949	461
673	950	459
674	951	458
675	952	456
676	953	454
677	954	453
678	955	451
679	956	450
680	957	448
681	958	447
682	959	445
683	960	443
684	961	442
685	963	440
686	964	439
687	965	437
688	966	436
689	967	434
690	968	433
691	969	431
692	970	429
693	971	428
694	972	426
695	973	425
696	974	423
697	975	421
698	975	420
699	977	418
700	978	417
701	980	416
702	981	414
703	982	413
704	984	411
705	985	410
706	986	408
707	987	407
708	987	405
709	988	403
710	989	402
711	990	400
712	991	399
713	992	397
714	994	396
715	995	394
716	996	393
717	997	391
718	998	390
719	999	388
720	1000	387
721	1002	385
722	1003	384
723	1004	382
724	1005	381
725	1007	380
726	1008	378
727	1010	377
728	1011	376
729	1012	374
730	1013	373
731	1015	371
732	1016	370
733	1017	368
734	1018	367
735	1019	365
736	1020	364
737	1021	362
738	1023	361
